gameid,playerid,betid,spinid,timestamp,betamt,bettype,prediction,spinsymbols,win,payout,balbefore,balafter,fraud
25,P2,BET-25,SPIN-25-12369,2024-06-11 10:22:10,30.00,SYMBOL_APPEARANCE,DIAMOND,DIAMOND;CHERRY;LEMON,1,90.00,1570.00,1630.00,0.00
26,P2,BET-26,SPIN-26-12370,2024-06-11 10:25:45,25.00,ANY_PAIR,,BELL;BELL;CHERRY,1,250.00,1630.00,1855.00,0.00
27,P3,BET-27,SPIN-27-12371,2024-06-11 11:30:22,55.00,TRIPLE_SYMBOL,BELL,BELL;BELL;BELL,1,1650.00,3810.00,5405.00,28.00
28,P3,BET-28,SPIN-28-12372,2024-06-11 11:33:50,48.00,PAIR_PREDICTION,SEVEN,SEVEN;SEVEN;LEMON,1,384.00,5405.00,5741.00,0.00
29,P4,BET-29,SPIN-29-12373,2024-06-11 12:15:30,12.00,SYMBOL_APPEARANCE,CHERRY,CHERRY;LEMON;ORANGE,1,36.00,875.00,899.00,0.00
30,P4,BET-30,SPIN-30-12374,2024-06-11 12:18:05,15.00,ANY_PAIR,,ORANGE;LEMON;BELL,0,0.00,899.00,884.00,0.00
31,P5,BET-31,SPIN-31-12375,2024-06-11 13:40:18,42.00,ANY_TRIPLE,,SEVEN;SEVEN;SEVEN,1,1050.00,2655.00,3663.00,22.00
32,P5,BET-32,SPIN-32-12376,2024-06-11 13:43:40,38.00,PAIR_PREDICTION,BELL,BELL;BELL;ORANGE,1,304.00,3663.00,3929.00,0.00
33,P6,BET-33,SPIN-33-12377,2024-06-11 14:25:12,22.00,ANY_PAIR,,LEMON;LEMON;CHERRY,1,220.00,1330.00,1528.00,0.00
34,P6,BET-34,SPIN-34-12378,2024-06-11 14:28:30,18.00,SYMBOL_APPEARANCE,ORANGE,ORANGE;CHERRY;BELL,1,54.00,1528.00,1564.00,0.00
35,P7,BET-35,SPIN-35-12379,2024-06-11 15:10:45,65.00,EXACT_PREDICTION,BELL;BELL;CHERRY,BELL;BELL;CHERRY,1,3250.00,7140.00,10325.00,92.75
36,P7,BET-36,SPIN-36-12380,2024-06-11 15:14:20,70.00,TRIPLE_SYMBOL,DIAMOND,DIAMOND;DIAMOND;DIAMOND,1,2100.00,10325.00,12355.00,98.20
37,P8,BET-37,SPIN-37-12381,2024-06-11 16:20:30,20.00,ANY_PAIR,,CHERRY;CHERRY;LEMON,1,200.00,1116.00,1296.00,0.00
38,P8,BET-38,SPIN-38-12382,2024-06-11 16:23:55,24.00,PAIR_PREDICTION,ORANGE,ORANGE;ORANGE;BELL,1,192.00,1296.00,1464.00,0.00
39,P9,BET-39,SPIN-39-12383,2024-06-11 17:35:10,35.00,ANY_TRIPLE,,BELL;BELL;BELL,1,875.00,2900.00,3740.00,18.00
40,P9,BET-40,SPIN-40-12384,2024-06-11 17:38:25,30.00,SYMBOL_APPEARANCE,SEVEN,SEVEN;CHERRY;ORANGE,1,90.00,3740.00,3800.00,0.00
41,P10,BET-41,SPIN-41-12385,2024-06-11 18:50:40,38.00,PAIR_PREDICTION,LEMON,LEMON;CHERRY;BELL,0,0.00,1125.00,1087.00,0.00
42,P10,BET-42,SPIN-42-12386,2024-06-11 18:53:20,32.00,ANY_PAIR,,ORANGE;LEMON;CHERRY,0,0.00,1087.00,1055.00,0.00
43,P1,BET-43,SPIN-43-12387,2024-06-12 08:10:15,25.00,ANY_TRIPLE,,CHERRY;CHERRY;CHERRY,1,625.00,1954.00,2554.00,15.00
44,P2,BET-44,SPIN-44-12388,2024-06-12 09:22:40,28.00,PAIR_PREDICTION,BELL,BELL;BELL;CHERRY,1,224.00,1855.00,2051.00,0.00
45,P3,BET-45,SPIN-45-12389,2024-06-12 10:15:30,52.00,ANY_PAIR,,SEVEN;SEVEN;LEMON,1,520.00,5741.00,6209.00,0.00
46,P4,BET-46,SPIN-46-12390,2024-06-12 11:30:25,14.00,SYMBOL_APPEARANCE,DIAMOND,DIAMOND;CHERRY;ORANGE,1,42.00,884.00,912.00,0.00
47,P5,BET-47,SPIN-47-12391,2024-06-12 12:40:50,40.00,TRIPLE_SYMBOL,SEVEN,SEVEN;SEVEN;SEVEN,1,1200.00,3929.00,5089.00,25.00
48,P6,BET-48,SPIN-48-12392,2024-06-12 13:25:10,20.00,ANY_PAIR,,ORANGE;ORANGE;BELL,1,200.00,1564.00,1744.00,0.00
49,P7,BET-49,SPIN-49-12393,2024-06-12 14:10:30,75.00,ANY_TRIPLE,,DIAMOND;DIAMOND;DIAMOND,1,1875.00,12355.00,14155.00,99.80
50,P8,BET-50,SPIN-50-12394,2024-06-12 15:20:45,22.00,PAIR_PREDICTION,CHERRY,CHERRY;CHERRY;LEMON,1,176.00,1464.00,1618.00,0.00
